codigo,region,municipioEscolar,nombreEscuela,nivel,ausentismo_cronico,ciencias_meta,espanol_meta,ingles_meta,mate_meta,asistencia_estudiantes_pct,asistencia_maestros_pct,matricula,Disabilities,econ_des,FosterCare,Female,Male,Migrants,Section504,econ_des_pct,disabilities_pct,zona,latitud,longitud
12229,Arecibo,Manatí,Teodomiro Taboas,Primario,0.3769230769230769,0.56522,0.70513,0.7013,0.70513,0.9034199923254028,0.6059054961459867,122,44,107,0,56,66,0,0,0.8770491803278688,0.36065573770491804,URBANA,18.42867,-66.48747
12245,Bayamón,Morovis,Francisco Rivera Claudio,Primario,0.0411764705882352,0.32174,0.3403,0.2597,0.0509,0.9793272720987312,0.7313316852381615,325,117,285,0,141,184,0,1,0.8769230769230769,0.36,URBANA,18.32594,-66.40145
12260,Bayamón,Morovis,Esperanza González,Primario,0.0092592592592592,0.76744,0.68657,0.45522,0.67164,0.98815230048474,0.7668110634663927,201,73,174,0,109,92,0,0,0.8656716417910447,0.36318407960199006,RURAL,18.30802,-66.39342
12278,Bayamón,Morovis,Juana G. Avilés (Fránquez),Primario,0.2346570397111913,0.81356,0.56886,0.52727,0.6747,0.9402031205920012,0.6924548590437386,264,77,228,0,127,137,0,0,0.8636363636363636,0.2916666666666667,RURAL,18.35627,-66.40972
12336,Bayamón,Morovis,Ramon Torres Rivera,Primario,0.2991452991452991,1.0,0.92683,0.73171,0.9878,0.9369569714522136,0.6928063674988366,110,35,104,0,59,51,0,0,0.9454545454545454,0.3181818181818182,RURAL,18.30338,-66.43418
12369,Bayamón,Morovis,Elemental Urbana,Primario,0.1357615894039735,0.81579,0.3046,0.21387,0.46821,0.9508319996914948,0.6979993338839428,287,120,261,0,128,159,0,1,0.9094076655052264,0.4181184668989547,URBANA,18.32623,-66.40863
12377,Bayamón,Morovis,Jaime A. Collazo del Río,Secundario,0.410981697171381,0.43137,0.30065,0.3268,0.09804,0.9019143973298944,0.6965817261842431,596,144,486,0,294,302,0,14,0.8154362416107382,0.24161073825503357,URBANA,18.32492,-66.40455
12401,Bayamón,Morovis,S. U. José R. Barreras,Primario,0.2565789473684211,0.44928,0.41935,0.3271,0.25346,0.9315817349525216,0.7238080085500408,285,107,250,0,138,147,0,2,0.8771929824561403,0.37543859649122807,RURAL,18.33573,-66.37341
12435,Bayamón,Morovis,Barahona (Elemental),Primario,0.4081632653061224,0.66038,0.53205,0.72368,0.51299,0.9002321061272244,0.7357049389805989,287,113,233,0,143,144,0,0,0.8118466898954704,0.39372822299651566,RURAL,18.35501,-66.44233
12518,Bayamón,Orocovis,S. U. Bonifacio Alvarado,Primario,0.1270718232044199,0.97674,0.728,0.624,0.592,0.96320978045854,0.8496208608181394,175,69,151,0,74,101,0,2,0.8628571428571429,0.3942857142857143,RURAL,18.17448,-66.43287
12633,Bayamón,Orocovis,Visitación Pagán,Primario,0.1646586345381526,1.0,0.84127,0.83333,0.92857,0.9494649637556092,0.7446770711304573,240,64,200,0,110,130,0,1,0.8333333333333334,0.26666666666666666,RURAL,18.26601,-66.39914
12666,Bayamón,Orocovis,S. U. Matrullas,Primario,0.1476510067114094,0.80769,0.43434,0.52577,0.33673,0.9630620985010708,0.8603448291570057,138,52,130,0,64,74,0,0,0.9420289855072463,0.37681159420289856,RURAL,18.20073,-66.48761
12716,Bayamón,Orocovis,S. U. Botijas I,Primario,0.0404624277456647,0.65625,0.53509,0.72566,0.51754,0.9817450902860156,0.8531425738958286,169,54,156,0,60,109,0,1,0.9230769230769231,0.31952662721893493,RURAL,18.24139,-66.36643
12724,Bayamón,Orocovis,S. U. Ana Joaquina Ortiz Ortiz,Primario,0.5406976744186046,1.0,0.64646,0.67677,0.66667,0.896560531244679,0.7359378416247183,164,65,143,0,83,81,0,0,0.8719512195121951,0.39634146341463417,RURAL,18.21376,-66.35607
12740,Bayamón,Orocovis,Ángel Rafael Díaz Colón,Primario,0.184331797235023,0.94643,0.74834,0.92053,0.80132,0.9528314179240612,0.718899187356255,210,86,188,0,105,105,0,4,0.8952380952380953,0.4095238095238095,RURAL,18.20418,-66.42229
12765,Bayamón,Orocovis,S. U. Sanamuertos,Primario,0.0817120622568093,0.55405,0.68116,0.42512,0.35266,0.9638665639106022,0.6504559453597362,250,66,217,0,131,119,0,3,0.868,0.264,RURAL,18.23956,-66.40468
12799,Arecibo,Quebradillas,Ramón Emeterio Betances,Primario,0.1030927835051546,0.54839,0.54601,0.46914,0.69939,0.9631036896310368,0.7106397662704341,280,98,243,0,135,145,0,0,0.8678571428571429,0.35,URBANA,18.47587,-66.93838
12872,Arecibo,Quebradillas,Dr. Pedro Albizu Campos,Primario,0.170886075949367,0.1746,0.28313,0.20122,0.0241,0.954836618751668,0.530893142066456,144,81,113,0,63,81,0,5,0.7847222222222222,0.5625,URBANA,18.46849,-66.93915
12914,Arecibo,Quebradillas,S. U. Honorio Hernández,Primario,0.1581920903954802,0.33766,0.33475,0.24255,0.23404,0.9531506804286372,0.6184356260981606,336,115,270,0,156,180,0,0,0.8035714285714286,0.34226190476190477,RURAL,18.44124,-66.93173
12922,Arecibo,Quebradillas,S. U. Luis Muñoz Rivera,Primario,0.1008403361344537,0.55357,0.48898,0.426,0.28942,0.9666165121584236,0.6975443174744963,562,221,446,0,268,294,0,8,0.7935943060498221,0.3932384341637011,RURAL,18.45915,-66.91701
