PartitionKey,RowKey,Timestamp,AcademicYear,All,Disabilities,EconomicallyDisadvantaged,Female,FosterCare,Grade,HispanicNOTPuertoRican,Homeless,Male,Migrants,MilitaryParent,NOTDisabilities,NOTEconomicallyDisadvantaged,OtherOrigin,PuertoRican,Section504,SpanishLearners,WhiteNOTHispanic
52357,33569,2021-06-24T13:18:33.4094117Z,2021,19,8,17,6,0,2do,2,0,13,0,0,11,2,0,17,0,0,0
52357,33570,2021-06-24T13:18:33.4104131Z,2021,38,15,35,20,0,3ro,1,0,18,0,0,23,3,0,37,0,0,0
52357,33571,2021-06-24T13:18:33.4104131Z,2021,30,15,25,15,0,4to,1,0,15,0,0,15,5,0,29,0,0,0
52357,33572,2021-06-24T13:18:33.4104131Z,2021,28,11,27,12,0,5to,0,0,16,0,0,17,1,0,28,0,0,0
52357,33573,2021-06-24T13:18:33.4114136Z,2021,22,5,21,13,0,K,0,0,9,0,0,17,1,0,20,0,0,2
52357,33574,2021-06-24T13:18:33.4114136Z,2021,8,8,8,4,0,Sin Grado,0,0,4,0,0,0,0,0,8,0,0,0
52357,3544,2020-11-18T16:21:03.269215Z,2019,59,23,57,30,1,1ro,0,1,29,0,0,36,2,0,59,0,0,0
52357,3545,2020-11-18T16:21:03.269215Z,2019,45,18,40,19,3,2do,2,4,26,0,0,27,5,0,43,0,0,0
52357,3546,2020-11-18T16:21:03.269215Z,2019,45,17,45,22,0,3ro,1,0,23,0,0,28,0,0,44,0,0,0
52357,3547,2020-11-18T16:21:03.2702149Z,2019,39,14,36,18,0,4to,0,0,21,0,0,25,3,0,39,0,0,0
52357,3548,2020-11-18T16:21:03.2702149Z,2019,40,9,39,18,0,5to,2,0,22,0,0,31,1,0,37,0,0,1
52357,3549,2020-11-18T16:21:03.2702149Z,2019,29,6,25,14,1,K,10,1,15,0,0,23,4,0,19,0,0,0
52357,3550,2020-11-18T16:21:03.2702149Z,2019,9,7,9,3,0,Sin Grado,1,0,6,0,0,2,0,0,8,0,0,0
52357,9563,2020-11-18T16:21:59.0914364Z,2020,31,10,30,15,0,1ro,10,0,16,0,0,21,1,0,20,0,0,1
52357,9564,2020-11-18T16:21:59.0914364Z,2020,52,20,50,27,0,2do,1,2,25,0,0,32,2,0,51,0,0,0
