PartitionKey,escuela,region,municipio,escuela_receptora,nivel,grade,matricula_1819,matricula_1718,matricula_1617,espanol_1819,espanol_1718,espanol_1617,matematica_1819,matematica_1718,matematica_1617,ingles_1819,ingles_1718,ingles_1617,ciencias_1819,ciencias_1718,ciencias_1617,latitude,longitude,escuela_receptora_cat,AcademicYear,All,Disabilities,EconomicallyDisadvantaged,Female,FosterCare,HispanicNOTPuertoRican,Homeless,Male,Migrants,MilitaryParent,NOTDisabilities,NOTEconomicallyDisadvantaged,OtherOrigin,PuertoRican,Section504,SpanishLearners,WhiteNOTHispanic
10322,SU Enrique de Jesus Borras,ARECIBO,ARECIBO,0,PRIMARIO,"K - 8, EEE - EES",223,246,274,58.1,48.0,50.0,53.7,41.4,25.3,63.1,23.0,38.0,88.6,55.2,46.3,18.40842,-66.69891,Schools did not receive displaced students,2019,223,85,198,125,0,7,30,98,0,0,138,25,0,216,0,0,0
10546,SU Federico Degetau,ARECIBO,ARECIBO,0,PRIMARIO,"PK - 8, EEE - EEI",703,630,542,36.1,40.1,64.4,15.1,13.9,38.2,32.5,31.3,52.3,38.9,38.1,55.2,18.44575,-66.665,Schools did not receive displaced students,2019,703,274,556,365,0,11,0,338,0,0,429,147,0,692,0,3,0
76349,SU Francisco Felicie Martinez,ARECIBO,VEGA ALTA,0,PRIMARIO,"K - 8, EEE",639,614,624,48.4,60.1,53.2,34.1,39.6,34.1,40.8,51.0,37.3,59.5,51.4,46.9,18.44576,-66.34864,Schools did not receive displaced students,2019,639,209,495,316,0,10,10,323,0,0,430,144,0,628,0,0,1
11320,SU Francisco Serrano,ARECIBO,CIALES,1,PRIMARIO,PK - 8,335,286,260,45.9,49.7,44.8,36.8,30.2,24.1,26.4,32.0,32.7,32.8,58.9,60.0,18.2958,-66.49264,Schools received displaced students in SY 2019,2019,335,86,260,176,0,0,0,159,0,0,249,75,0,335,5,0,0
12914,SU Honorario Hernandez,ARECIBO,QUEBRADILLAS,0,PRIMARIO,"K - 8, EEE",339,398,369,33.5,35.5,36.7,23.4,21.1,19.8,24.3,30.2,33.1,33.8,38.9,40.6,18.44124,-66.93173,Schools did not receive displaced students,2019,339,126,260,162,0,0,0,177,0,0,213,79,0,339,0,0,0
10892,SU Joaquin Vazquez Cruz,ARECIBO,CAMUY,0,PRIMARIO,"K - 8, EEE",289,310,334,48.1,62.0,65.4,29.0,47.0,42.5,41.9,44.0,72.1,59.1,58.0,60.4,18.37569,-66.87954,Schools did not receive displaced students,2019,289,96,252,142,0,3,0,147,0,0,193,37,0,286,1,1,0
12922,SU Luis Muñoz Rivera,ARECIBO,QUEBRADILLAS,1,PRIMARIO,"PK - 8, EEE",677,735,711,48.9,49.0,51.7,28.9,30.0,27.9,42.6,51.7,52.9,55.4,65.8,59.6,18.45915,-66.91701,Schools received displaced students in SY 2019,2019,677,269,473,335,0,13,0,342,0,0,408,204,0,664,14,0,0
10512,SU Manuel Ruiz Gandia,ARECIBO,ARECIBO,0,PRIMARIO,"K - 8, EEE",465,492,503,34.1,41.2,43.2,14.9,21.2,31.9,30.0,33.0,36.5,39.8,37.8,51.6,18.42089,-66.74932,Schools did not receive displaced students,2019,465,172,335,220,0,2,2,245,0,0,293,130,0,463,0,4,0
11494,SU Rafael Zamot Cruz,ARECIBO,HATILLO,0,PRIMARIO,"K - 8, EEE - EES",250,281,296,58.4,66.7,68.1,34.3,56.6,48.5,47.5,69.1,62.7,67.2,87.7,75.3,18.36888,-66.79268,Schools did not receive displaced students,2019,250,73,209,130,0,5,0,120,0,0,177,41,0,233,0,2,12
11031,SU Santiago R Palmer,ARECIBO,CAMUY,0,PRIMARIO,"K - 8, EEI",323,353,348,69.1,70.9,65.3,56.8,76.9,66.0,73.5,73.0,73.0,96.8,82.9,84.8,18.36773,-66.83357,Schools did not receive displaced students,2019,323,78,257,163,0,0,1,160,0,0,245,66,0,323,2,0,0
11312,SU Toribio Rivera,ARECIBO,CIALES,1,PRIMARIO,K - 8,182,164,173,37.5,35.5,48.4,34.6,25.2,28.1,27.9,24.3,28.7,51.1,47.5,52.3,18.30385,-66.5552,Schools received displaced students in SY 2019,2019,182,56,154,83,0,2,0,99,0,0,126,28,0,178,1,2,2
17368,SUP Manuel Ramos Hernandez,ARECIBO,QUEBRADILLAS,0,SECUNDARIO,9 - 12,504,664,714,40.1,45.6,47.9,27.5,28.7,40.2,45.8,53.1,66.3,35.5,51.2,68.8,18.47761,-66.93574,Schools did not receive displaced students,2019,504,91,359,245,1,4,0,259,0,0,413,145,0,500,6,0,0
17327,Superior Miguel F Santiago Echgaray,ARECIBO,CAMUY,0,SECUNDARIO,"9 - 12, EES",271,305,313,28.1,47.1,58.4,0.0,1.4,3.9,42.1,40.0,54.5,38.6,58.6,67.5,18.3675,-66.83333333,Schools did not receive displaced students,2019,271,43,207,126,0,10,0,145,0,0,228,64,0,261,0,0,0
17558,Superior Vocacional,ARECIBO,ARECIBO,0,SECUNDARIO,"9 - 12, EES",1207,1270,1242,49.4,49.0,63.3,11.2,11.2,17.8,54.4,62.9,70.6,55.0,65.7,75.2,18.44175,-66.67191,Schools did not receive displaced students,2019,1207,240,895,625,0,8,0,582,0,0,967,312,0,1199,0,1,0
12229,Teodomiro Taboas,ARECIBO,MANATI,0,PRIMARIO,"K - 5, EEE",164,195,254,70.5,57.5,66.4,70.5,67.5,70.1,70.1,74.1,74.0,56.5,86.4,93.0,18.42867,-66.48747,Schools did not receive displaced students,2019,164,78,161,75,0,6,0,89,0,0,86,3,0,158,0,2,0
11502,Timoteo Delgado,ARECIBO,HATILLO,0,PRIMARIO,"6 - 8, EEI",532,505,471,39.8,44.6,49.4,17.1,18.8,20.2,38.4,43.4,45.6,52.0,70.8,43.3,18.42818,-66.78992,Schools did not receive displaced students,2019,532,181,416,262,0,5,3,270,0,0,351,116,0,527,0,0,0
14241,Trina Padilla de Sanz,ARECIBO,ARECIBO,1,TODOS LOS NIVELES,"6 - 12, EES",496,469,461,29.7,32.0,28.4,3.7,5.1,10.3,23.3,25.3,30.2,42.6,46.9,44.6,18.46557,-66.74341,Schools received displaced students in SY 2019,2019,496,181,422,218,0,2,1,278,0,0,315,74,4,490,0,1,0
